A
time in s,CH1
-2.1999996E-07,4.0000E-01
-2.1974996E-07,4.0000E-01
-2.1949997E-07,4.0000E-01
-2.1924996E-07,4.0000E-01
-2.1899996E-07,4.8000E-01
-2.1874996E-07,4.0000E-01
-2.1849996E-07,4.8000E-01
-2.1824997E-07,4.0000E-01
-2.1799997E-07,4.0000E-01
-2.1774996E-07,4.8000E-01
-2.1749996E-07,5.6000E-01
-2.1724996E-07,5.6000E-01
-2.1699996E-07,4.8000E-01
-2.1674997E-07,4.8000E-01
-2.1649996E-07,4.8000E-01
-2.1624996E-07,4.8000E-01
-2.1599996E-07,4.8000E-01
-2.1574996E-07,4.8000E-01
-2.1549997E-07,4.0000E-01
-2.1524995E-07,4.0000E-01
-2.1499996E-07,4.0000E-01
-2.1474996E-07,4.0000E-01
-2.1449996E-07,4.0000E-01
-2.1424997E-07,4.0000E-01
-2.1399995E-07,4.0000E-01
-2.1374996E-07,4.0000E-01
-2.1349996E-07,4.0000E-01
-2.1324996E-07,4.0000E-01
-2.1299996E-07,4.0000E-01
-2.1274997E-07,4.0000E-01
-2.1249996E-07,4.8000E-01
-2.1224996E-07,4.0000E-01
-2.1199996E-07,4.0000E-01
-2.1174996E-07,4.0000E-01
-2.1149997E-07,4.0000E-01
-2.1124995E-07,4.8000E-01
-2.1099996E-07,4.8000E-01
-2.1074996E-07,4.8000E-01
-2.1049996E-07,5.6000E-01
-2.1024996E-07,4.8000E-01
-2.0999997E-07,3.2000E-01
-2.0974996E-07,4.0000E-01
-2.0949996E-07,4.0000E-01
-2.0924996E-07,4.0000E-01
-2.0899996E-07,4.0000E-01
-2.0874997E-07,4.8000E-01
-2.0849996E-07,4.0000E-01
-2.0824996E-07,4.0000E-01
-2.0799996E-07,4.8000E-01
-2.0774996E-07,4.0000E-01
-2.0749997E-07,4.0000E-01
-2.0724995E-07,4.0000E-01
-2.0699996E-07,3.2000E-01
-2.0674996E-07,4.0000E-01
-2.0649996E-07,4.0000E-01
-2.0624996E-07,4.8000E-01
-2.0599995E-07,4.0000E-01
-2.0574996E-07,4.8000E-01
-2.0549996E-07,4.8000E-01
-2.0524996E-07,4.8000E-01
-2.0499996E-07,5.6000E-01
-2.0474997E-07,4.8000E-01
-2.0449995E-07,4.8000E-01
-2.0424996E-07,4.8000E-01
-2.0399996E-07,4.0000E-01
-2.0374996E-07,4.8000E-01
-2.0349997E-07,4.8000E-01
-2.0324995E-07,4.8000E-01
-2.0299996E-07,4.0000E-01
-2.0274996E-07,4.8000E-01
-2.0249996E-07,4.0000E-01
-2.0224996E-07,4.0000E-01
-2.0199997E-07,4.0000E-01
-2.0174996E-07,4.0000E-01
-2.0149996E-07,4.0000E-01
-2.0124996E-07,4.8000E-01
-2.0099996E-07,4.0000E-01
-2.0074995E-07,4.0000E-01
-2.0049995E-07,4.0000E-01
-2.0024996E-07,4.0000E-01
-1.9999996E-07,4.0000E-01
-1.9974996E-07,4.0000E-01
-1.9949996E-07,4.8000E-01
-1.9924997E-07,4.0000E-01
-1.9899996E-07,4.0000E-01
-1.9874996E-07,4.0000E-01
-1.9849996E-07,4.8000E-01
-1.9824996E-07,4.8000E-01
-1.9799995E-07,4.0000E-01
-1.9774996E-07,4.0000E-01
-1.9749996E-07,4.0000E-01
-1.9724996E-07,4.0000E-01
-1.9699996E-07,4.0000E-01
-1.9674997E-07,4.0000E-01
-1.9649995E-07,4.0000E-01
-1.9624996E-07,4.8000E-01
-1.9599996E-07,4.0000E-01
-1.9574996E-07,4.8000E-01
-1.9549996E-07,4.8000E-01
-1.9524995E-07,5.6000E-01
-1.9499996E-07,4.8000E-01
-1.9474996E-07,4.8000E-01
-1.9449996E-07,4.8000E-01
-1.9424996E-07,4.0000E-01
-1.9399997E-07,3.2000E-01
-1.9374995E-07,4.0000E-01
-1.9349996E-07,3.2000E-01
-1.9324996E-07,4.0000E-01
-1.9299996E-07,4.8000E-01
-1.9274995E-07,4.0000E-01
-1.9249995E-07,4.8000E-01
-1.9224996E-07,4.0000E-01
-1.9199996E-07,4.0000E-01
-1.9174996E-07,4.8000E-01
-1.9149996E-07,4.8000E-01
-1.9124997E-07,4.8000E-01
-1.9099996E-07,4.0000E-01
-1.9074996E-07,4.0000E-01
-1.9049996E-07,4.0000E-01
-1.9024996E-07,4.8000E-01
-1.8999995E-07,4.8000E-01
-1.8974995E-07,4.8000E-01
-1.8949996E-07,4.8000E-01
-1.8924996E-07,4.8000E-01
-1.8899996E-07,4.8000E-01
-1.8874996E-07,4.8000E-01
-1.8849997E-07,4.8000E-01
-1.8824996E-07,4.8000E-01
-1.8799996E-07,4.0000E-01
-1.8774996E-07,4.8000E-01
-1.8749995E-07,4.0000E-01
-1.8724995E-07,4.0000E-01
-1.8699996E-07,4.0000E-01
-1.8674996E-07,4.0000E-01
-1.8649996E-07,4.0000E-01
-1.8624996E-07,4.8000E-01
-1.8599997E-07,4.8000E-01
-1.8574995E-07,4.8000E-01
-1.8549996E-07,4.8000E-01
-1.8524996E-07,4.8000E-01
-1.8499996E-07,4.8000E-01
-1.8474995E-07,4.8000E-01
-1.8449995E-07,5.6000E-01
-1.8424996E-07,5.6000E-01
-1.8399996E-07,4.0000E-01
-1.8374996E-07,4.8000E-01
-1.8349996E-07,4.8000E-01
-1.8324997E-07,4.0000E-01
-1.8299995E-07,4.0000E-01
-1.8274996E-07,4.8000E-01
-1.8249996E-07,4.0000E-01
-1.8224996E-07,4.0000E-01
-1.8199995E-07,4.8000E-01
-1.8174995E-07,4.8000E-01
-1.8149996E-07,4.8000E-01
-1.8124996E-07,4.8000E-01
-1.8099996E-07,4.0000E-01
-1.8074996E-07,4.0000E-01
-1.8049997E-07,4.8000E-01
-1.8024996E-07,4.0000E-01
-1.7999996E-07,4.8000E-01
-1.7974996E-07,4.0000E-01
-1.7949995E-07,4.0000E-01
-1.7924995E-07,4.0000E-01
-1.7899995E-07,4.0000E-01
-1.7874996E-07,4.0000E-01
-1.7849996E-07,4.0000E-01
-1.7824996E-07,4.8000E-01
-1.7799996E-07,4.0000E-01
-1.7774995E-07,4.8000E-01
-1.7749996E-07,4.8000E-01
-1.7724996E-07,4.8000E-01
-1.7699996E-07,4.0000E-01
-1.7674995E-07,4.0000E-01
-1.7649995E-07,4.0000E-01
-1.7624996E-07,4.8000E-01
-1.7599996E-07,4.8000E-01
-1.7574996E-07,4.8000E-01
-1.7549996E-07,4.0000E-01
-1.7524997E-07,4.8000E-01
-1.7499995E-07,4.0000E-01
-1.7474996E-07,4.0000E-01
-1.7449996E-07,4.0000E-01
-1.7424996E-07,4.0000E-01
