A
time in s,CH1
-2.4399998E-07,1.1600E-02
-2.4374998E-07,1.2000E-02
-2.4349998E-07,1.2000E-02
-2.4324999E-07,1.1200E-02
-2.4299999E-07,1.1600E-02
-2.4274999E-07,1.2000E-02
-2.4249996E-07,1.1200E-02
-2.4224997E-07,1.0000E-02
-2.4199997E-07,8.0000E-03
-2.4174997E-07,6.0000E-03
-2.4149998E-07,4.4000E-03
-2.4124998E-07,2.0000E-03
-2.4099998E-07,8.0000E-04
-2.4074998E-07,-8.0000E-04
-2.4049999E-07,-2.4000E-03
-2.4024999E-07,-4.0000E-03
-2.3999996E-07,-5.2000E-03
-2.3974997E-07,-6.4000E-03
-2.3949997E-07,-7.2000E-03
-2.3924997E-07,-8.0000E-03
-2.3899997E-07,-8.0000E-03
-2.3874998E-07,-6.4000E-03
-2.3849998E-07,-5.6000E-03
-2.3824998E-07,-4.8000E-03
-2.3799998E-07,-4.8000E-03
-2.3774997E-07,-4.0000E-03
-2.3749998E-07,-3.6000E-03
-2.3724998E-07,-2.4000E-03
-2.3699998E-07,-8.0000E-04
-2.3674998E-07,1.2000E-03
-2.3649997E-07,4.0000E-03
-2.3624997E-07,6.0000E-03
-2.3599998E-07,8.0000E-03
-2.3574998E-07,1.0000E-02
-2.3549998E-07,1.1600E-02
-2.3524997E-07,1.3200E-02
-2.3499997E-07,1.4000E-02
-2.3474998E-07,1.5200E-02
-2.3449998E-07,1.5600E-02
-2.3424998E-07,1.4000E-02
-2.3399997E-07,1.2000E-02
-2.3374997E-07,1.0400E-02
-2.3349997E-07,8.8000E-03
-2.3324998E-07,7.2000E-03
-2.3299998E-07,6.0000E-03
-2.3274998E-07,4.4000E-03
-2.3249997E-07,8.0000E-04
-2.3224997E-07,-3.2000E-03
-2.3199998E-07,-6.4000E-03
-2.3174998E-07,-8.4000E-03
-2.3149998E-07,-8.8000E-03
-2.3124997E-07,-8.8000E-03
-2.3099997E-07,-8.4000E-03
-2.3074998E-07,-8.0000E-03
-2.3049998E-07,-8.8000E-03
-2.3024998E-07,-9.2000E-03
-2.2999998E-07,-8.4000E-03
-2.2974997E-07,-6.4000E-03
-2.2949997E-07,-3.2000E-03
-2.2924998E-07,-8.0000E-04
-2.2899998E-07,2.0000E-03
-2.2874997E-07,4.0000E-03
-2.2849997E-07,5.6000E-03
-2.2824997E-07,6.0000E-03
-2.2799998E-07,6.0000E-03
-2.2774998E-07,6.4000E-03
-2.2749998E-07,7.2000E-03
-2.2724998E-07,7.6000E-03
-2.2699997E-07,8.0000E-03
-2.2674998E-07,8.4000E-03
-2.2649998E-07,7.6000E-03
-2.2624998E-07,6.4000E-03
-2.2599997E-07,5.6000E-03
-2.2574997E-07,5.2000E-03
-2.2549997E-07,4.8000E-03
-2.2524998E-07,4.4000E-03
-2.2499998E-07,4.0000E-03
-2.2474998E-07,4.4000E-03
-2.2449997E-07,4.0000E-03
-2.2424997E-07,4.4000E-03
-2.2399998E-07,3.6000E-03
-2.2374998E-07,2.8000E-03
-2.2349998E-07,8.0000E-04
-2.2324997E-07,-8.0000E-04
-2.2299997E-07,-3.2000E-03
-2.2274997E-07,-3.6000E-03
-2.2249998E-07,-4.0000E-03
-2.2224998E-07,-3.6000E-03
-2.2199998E-07,-4.0000E-03
-2.2174997E-07,-4.8000E-03
-2.2149997E-07,-5.6000E-03
-2.2124998E-07,-5.6000E-03
-2.2099998E-07,-4.4000E-03
-2.2074997E-07,-8.0000E-04
-2.2049997E-07,3.2000E-03
-2.2024997E-07,6.4000E-03
-2.1999998E-07,8.0000E-03
-2.1974998E-07,9.2000E-03
-2.1949998E-07,9.2000E-03
-2.1924998E-07,8.0000E-03
-2.1899997E-07,6.8000E-03
-2.1874997E-07,4.8000E-03
-2.1849998E-07,2.8000E-03
-2.1824998E-07,8.0000E-04
-2.1799997E-07,-1.2000E-03
-2.1774997E-07,-2.0000E-03
-2.1749997E-07,-2.4000E-03
-2.1724998E-07,-3.6000E-03
-2.1699998E-07,-6.4000E-03
-2.1674998E-07,-8.4000E-03
-2.1649997E-07,-1.0800E-02
-2.1624997E-07,-1.2000E-02
-2.1599998E-07,-1.1600E-02
-2.1574998E-07,-1.0000E-02
-2.1549998E-07,-9.2000E-03
-2.1524997E-07,-9.2000E-03
-2.1499997E-07,-8.0000E-03
-2.1474997E-07,-6.8000E-03
-2.1449998E-07,-5.2000E-03
-2.1424998E-07,-3.2000E-03
-2.1399998E-07,-8.0000E-04
-2.1374997E-07,1.6000E-03
-2.1349997E-07,4.4000E-03
-2.1324998E-07,6.0000E-03
-2.1299998E-07,6.8000E-03
-2.1274997E-07,7.6000E-03
-2.1249997E-07,8.4000E-03
-2.1224997E-07,9.2000E-03
-2.1199997E-07,9.6000E-03
-2.1174998E-07,1.0400E-02
-2.1149998E-07,1.1600E-02
-2.1124998E-07,1.1600E-02
-2.1099997E-07,1.1200E-02
-2.1074997E-07,1.0400E-02
-2.1049998E-07,9.2000E-03
