Type;FSL-6;
Version;2.40;
Date;15.Oct 15;
Mode;ANALYZER;
Center Freq;515000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000000.000000;Hz
x-Axis;LIN;
Start;15000000.000000;Hz
Stop;1015000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.015000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
15000000;-63.359668731689453;-93.437248229980469
17000000;-60.804107666015625;-112.71017456054687
19000000;-59.143310546875;-94.392379760742188
21000000;-64.468505859375;-92.885238647460938
23000000;-57.209049224853516;-74.690223693847656
25000000;-56.186412811279297;-88.585800170898437
27000000;-58.814846038818359;-83.554779052734375
29000000;-56.046077728271484;-94.639633178710938
31000000;-53.708881378173828;-70.676864624023438
33000000;-54.539714813232422;-90.129188537597656
35000000;-66.2193603515625;-109.64694976806641
37000000;-58.157054901123047;-91.804100036621094
39000000;-62.856586456298828;-78.354881286621094
41000000;-65.579864501953125;-92.794517517089844
43000000;-70.3514404296875;-104.03230285644531
45000000;-70.159591674804688;-98.814537048339844
47000000;-68.15838623046875;-80.893753051757813
49000000;-70.024406433105469;-83.040626525878906
51000000;-62.074653625488281;-95.254837036132813
53000000;-59.443008422851562;-96.986686706542969
55000000;-61.993152618408203;-85.4677734375
57000000;-61.100284576416016;-79.836456298828125
59000000;-60.398574829101563;-75.016090393066406
61000000;-63.326614379882813;-96.184036254882813
63000000;-49.920421600341797;-101.25522613525391
65000000;-65.048583984375;-95.954017639160156
67000000;-65.834953308105469;-82.404449462890625
69000000;-69.251167297363281;-112.54936218261719
71000000;-69.566261291503906;-99.829116821289062
73000000;-71.08416748046875;-99.290626525878906
75000000;-75.7149658203125;-110.74420166015625
77000000;-76.26531982421875;-90.395378112792969
79000000;-71.261146545410156;-110.83915710449219
81000000;-74.495033264160156;-103.90282440185547
83000000;-76.8826904296875;-99.889724731445313
85000000;-74.598800659179687;-118.91085052490234
87000000;-75.150634765625;-122.12709045410156
89000000;-72.565299987792969;-105.2955322265625
91000000;-76.959358215332031;-108.31768035888672
93000000;-76.360580444335938;-103.07235717773437
95000000;-77.779228210449219;-102.0067138671875
97000000;-72.504493713378906;-110.32167053222656
99000000;-78.47705078125;-109.08545684814453
101000000;-72.808502197265625;-100.43855285644531
103000000;-77.780120849609375;-110.17803955078125
105000000;-73.312339782714844;-112.83080291748047
107000000;-72.951461791992188;-116.7606201171875
109000000;-78.4068603515625;-112.37960052490234
111000000;-79.458320617675781;-120.65013122558594
113000000;-78.032127380371094;-106.68190765380859
115000000;-78.118988037109375;-111.42636871337891
117000000;-79.060173034667969;-102.84726715087891
119000000;-77.725868225097656;-100.87259674072266
121000000;-79.158912658691406;-125.73615264892578
123000000;-76.990142822265625;-107.75734710693359
125000000;-77.505630493164062;-101.71768951416016
127000000;-67.503898620605469;-112.40412902832031
129000000;-79.802658081054688;-119.18216705322266
131000000;-78.697746276855469;-113.79977416992187
133000000;-77.300956726074219;-117.04512023925781
135000000;-81.099166870117187;-107.99034118652344
137000000;-79.742080688476562;-107.37580871582031
139000000;-80.838386535644531;-97.032936096191406
141000000;-81.167884826660156;-105.96809387207031
143000000;-78.222732543945313;-100.23354339599609
145000000;-77.955223083496094;-117.93685913085937
147000000;-76.559158325195313;-103.82749938964844
149000000;-69.641639709472656;-92.570747375488281
151000000;-77.931549072265625;-110.41548156738281
153000000;-80.059608459472656;-106.42803955078125
155000000;-75.803085327148438;-110.34855651855469
157000000;-78.76708984375;-102.72769165039062
159000000;-74.395866394042969;-92.846778869628906
161000000;-75.732841491699219;-110.72605895996094
163000000;-80.866455078125;-106.75037384033203
165000000;-80.456558227539062;-117.21282196044922
167000000;-83.128684997558594;-101.36272430419922
169000000;-79.418426513671875;-109.22176361083984
171000000;-76.548507690429687;-92.890830993652344
173000000;-74.5130615234375;-103.736328125
175000000;-76.947715759277344;-108.45013427734375
177000000;-61.422561645507812;-104.92955017089844
179000000;-59.157726287841797;-94.367095947265625
181000000;-71.878013610839844;-106.35878753662109
183000000;-76.602119445800781;-95.398582458496094
185000000;-75.224685668945313;-101.45269775390625
187000000;-75.952171325683594;-112.07688903808594
189000000;-78.112586975097656;-104.76921844482422
191000000;-41.044212341308594;-94.430999755859375
193000000;-53.740238189697266;-99.472724914550781
195000000;-72.399581909179688;-99.3289794921875
197000000;-76.064971923828125;-97.564826965332031
199000000;-66.440650939941406;-105.14669799804687
201000000;-62.613933563232422;-89.447746276855469
203000000;-72.191490173339844;-109.44695281982422
205000000;-74.207374572753906;-91.115066528320313
207000000;-75.038825988769531;-102.86077880859375
209000000;-71.505317687988281;-99.55224609375
211000000;-77.903816223144531;-128.99232482910156
213000000;-73.692436218261719;-101.27764892578125
215000000;-70.297149658203125;-97.539749145507813
217000000;-71.466072082519531;-94.103286743164063
219000000;-75.143531799316406;-123.31031036376953
221000000;-64.877677917480469;-116.59111785888672
223000000;-65.570915222167969;-95.526451110839844
225000000;-75.130088806152344;-98.1591796875
227000000;-75.33441162109375;-107.88451385498047
229000000;-75.760025024414063;-98.196533203125
231000000;-73.505790710449219;-102.26293182373047
233000000;-71.253028869628906;-104.00531005859375
235000000;-71.494834899902344;-103.70086669921875
237000000;-69.605270385742187;-104.21617126464844
239000000;-69.810317993164062;-110.10737609863281
241000000;-68.656700134277344;-99.493759155273438
243000000;-68.21917724609375;-97.434356689453125
245000000;-70.304176330566406;-95.015434265136719
247000000;-72.259773254394531;-102.06459045410156
249000000;-75.900482177734375;-115.74977874755859
251000000;-75.620254516601563;-115.90113067626953
253000000;-78.594482421875;-106.39583587646484
255000000;-78.838859558105469;-119.52556610107422
257000000;-78.725921630859375;-117.35549163818359
259000000;-78.729881286621094;-119.70552825927734
261000000;-77.090629577636719;-134.61079406738281
263000000;-78.380477905273438;-109.72629547119141
265000000;-78.305030822753906;-120.79448699951172
267000000;-80.291854858398437;-100.2271728515625
269000000;-79.397392272949219;-104.93428802490234
271000000;-77.707420349121094;-106.88803863525391
273000000;-76.745307922363281;-127.34122467041016
275000000;-76.922042846679687;-107.61940765380859
277000000;-80.685874938964844;-117.91928863525391
279000000;-79.38116455078125;-111.85333251953125
281000000;-77.388282775878906;-113.15199279785156
283000000;-78.547996520996094;-95.334381103515625
285000000;-78.7894287109375;-112.13796997070312
287000000;-75.99884033203125;-102.21434783935547
289000000;-77.906265258789063;-118.475341796875
291000000;-79.374038696289062;-106.24240112304687
293000000;-81.825515747070313;-118.33474731445312
295000000;-78.340896606445313;-112.06218719482422
297000000;-79.493255615234375;-101.010009765625
