Field=value~String~value~38|Field=Designator~String~Designator~232|Field=Footprint~String~Footprint~40|Field=LibRef~String~LibRef~52|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~43|Field=Supplier 1~String~Supplier 1~23|Field=Supplier 2~String~Supplier 2~23|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~32|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~32|Field=Supplier Part Number 1~String~Supplier Part Number 1~45|Field=Supplier Part Number 2~String~Supplier Part Number 2~36|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~32|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~21|Field=Description~String~Description~208|Field=Layer~String~Layer~27|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~USD3.0.PrjPcb|ReportField=ProjectFullPath~D:\workspace\Altium\USD\USD3.0.PrjPcb|ReportField=Title~Bill of Materials For Project [USD3.0.PrjPcb] (PCB Document : USD3.0.PcbDoc)|ReportField=TotalQuantity~221|ReportField=ReportTime~12:13:14|ReportField=ReportDate~16.06.2015|ReportField=ReportDateTime~16.06.2015 12:13:14|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectName~Ultrasound Doppler 2015|ReportField=Address1~Institut für Medizintechnik|ReportField=Address2~und Mechatronik|ReportField=Address3~Albert-Einstein-Allee 55|ReportField=Address4~89081 Ulm|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Andreas Rehn|ReportField=CheckedBy~|ReportField=CompanyName~Hochschule Ulm|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~16.06.2015|ReportField=CurrentTime~11:26:17|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\workspace\Altium\USD\System.SchDoc|ReportField=DocumentName~System.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Andreas Rehn|ReportField=Engineer~Andreas Rehn|ReportField=ImagePath~D:\workspace\Altium\USD\logo.jpg|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~15.06.2015|ReportField=Organization~Hochschule Ulm|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~System Overview|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~USD3.0.PrjPcb|ReportField=DataSourceFullPath~D:\workspace\Altium\USD\USD3.0.PrjPcb|ReportField=PCBDataSourceFileName~USD3.0.PcbDoc|ReportField=PCBDataSourceFullPath~D:\workspace\Altium\USD\USD3.0.PcbDoc
|CON1, CON2|SWD-10-SMD|SWD-10_SMD|20021121-00010C4LF|Digi-Key, Farnell|Farnell, Digi-Key|2|2|609-3695-1-ND, 1865279|1865279, 609-3695-1-ND||||Top
|J2|TECHNIC-TSH-3675-BLACK_V|CMP-0437-00001-1||||||||||Connector, 3.5mm Stereo Audio Socket, Black|Top
|LED1, LED2, LED3|LED-0603-GREEN|LED_SMD_Green_0603_525nm_350mcd|KPHM-1608ZGC|Farnell||3||2146438||0,376||LED 0603 SMD Green 525nm 350mcd 20mA|Top
|Q2|INTR-SOT-23-3_V|CMP-0676-00001-1|IRLML6402TRPBF|Digi-Key||1||IRLML6402PBFCT-ND||0,39||HEXFET Power MOSFET, P-Channel, -20 V VDSS, 0.065 Ohm RDS, 3-Pin SOT23, RoHS, Tape and Reel|Top
|TP1, TP2, TP3, TP4, TP5, TP6, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19|TP-THT-MINI|TESTPOINT_THT_MINI|5002|Digi-Key||||5002K-ND||||Test Point PCB mount Miniature White|Top
|U10|LQFP144|LPC4330FBD144|LPC4330FBD144,551|Digi-Key|Farnell|1|1|568-9450-ND|2094316|9,46|8,31|32-bit ARM Cortex-M4 MCU, 264 kB SRAM, 2 HS USB with on-chip PHY, Ethernet, CAN, AES, SPIFI, SGPIO, SCT, 144-Pin LQFP|Top
|U11|TQFP144_N|CMP-0111-00318-1|LCMXO2-7000HC-4TG144C|Digi-Key|Farnell|1|1|220-1508-ND|2253049|14,71|14,29|MachXO2 High Performance CPLD with 6864 LUTs, Voltage Regulator, 2.5V/3.3V, 144-pin TQFP, Speed Grade-4, Commercial Grade, Halogen Free (RoHS)|Top
0R|R12|0402[1005]|Resistor||||||||||Resistor|Top
0.1µF|C4, C7, C12, C13, C16, C18, C21, C22, C23, C25, C26, C28, C44, C45, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C71, C72, C76, C77, C78, C79, C80, C81, C82, C83, C84, C86, C87|0402[1005]|Capacitor|GRM155R71C104JA88D|Farnell||37||2470466||0,0311||Cap|Top, Top, Bottom, Top, Bottom, Bottom, Top, Top, Top, Top, Top, Top, Top, Top, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Top, Top, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Top, Top
0.1µF|C42, C43|0402[1005]|Capacitor|GRM152R61A104KE19D|Digi-Key|Farnell|2|2|490-10008-6-ND, 490-10008-1-ND|2470466|0,16||Cap|Top
0.33µF|C40, C41|0603|Capacitor|C0603X7R1E331K030BA|Digi-Key||2||445-7269-1-ND||0,10||Cap|Top
1k|R5, R7, R64|0402[1005]|Resistor||||||||||Resistor|Top
1K0|R9|0402[1005]|Resistor||||||||||Resistor|Top
1k5|R48|0402[1005]|Resistor||||||||||Resistor|Top
